Nom;prix;imageUrl
Magnet 306 - Jungfraujoch MM;2.00;/images/magnet/Magnet306.jpg
Magnet 307 - Golden bell swiss flag;1.70;/images/magnet/Magnet307.jpg
Magnet 307 - Water jet magnet MM;2.00;/images/magnet/Magnet307.jpg
Magnet 308 - flag. clock. water jet. chocolate MM;2.00;/images/magnet/Magnet308.jpg
Magnet 315 - Bear MM;2.00;/images/magnet/Magnet315.jpg
Magnet 316 - Zytglogge MM;2.00;/images/magnet/Magnet316.jpg
Magnet 317 - Zytglogge MM;2.00;/images/magnet/Magnet317.jpg
Magnet 318 - Zytglogge MM;1.70;/images/magnet/Magnet318.jpg
Magnet 319 - Heart shaped Zytglogge;1.70;/images/magnet/Magnet319.jpg
Magnet 320 - Bear head trophy;1.70;/images/magnet/Magnet320.jpg
Magnet 321 - Interlaken;2.00;/images/magnet/Magnet321.jpg
Magnet 322 - Montreux;2.00;/images/magnet/Magnet322.jpg
Magnet 323 - Lausanne-Ouchy harbour;1.70;/images/magnet/Magnet323.jpg
Magnet 324 - Cathedral Lausanne MM;2.00;/images/magnet/Magnet324.jpg
Magnet 326 - Lausanne Ouchy harbour MM;1.30;/images/magnet/Magnet326.jpg
Magnet 327 - Metallic Poya;1.00;/images/magnet/Magnet327.jpg
Magnet 328 - Dookie MM;2.00;/images/magnet/Magnet328.jpg
Magnet 336 - Magnet Einstein Crystal;1.00;/images/magnet/Magnet336.jpg
Magnet 337 - Hearth shaped Gruyères;1.70;/images/magnet/Magnet337.jpg
Magnet 338 - Gruyères city double sided MM;1.30;/images/magnet/Magnet338.jpg
Magnet 339 - Crans-Montana double sided MM;1.30;/images/magnet/Magnet339.jpg
Magnet 340 - Heart Bern;1.00;/images/magnet/Magnet340.jpg
Magnet 341 - Heart Zermatt;1.00;/images/magnet/Magnet341.jpg
Magnet 342 - Heart Zürich;1.00;/images/magnet/Magnet342.jpg
Magnet 343 - Heart Crans-Montana;1.00;/images/magnet/Magnet343.jpg
Magnet 344 - Heart Genève;1.00;/images/magnet/Magnet344.jpg
Magnet 345 - Heart Interlaken;1.00;/images/magnet/Magnet345.jpg
Magnet 346 - Heart Lausanne;1.00;/images/magnet/Magnet346.jpg
Magnet 347 - Heart Luzern;1.00;/images/magnet/Magnet347.jpg
Magnet 348 - Heart Montreux;1.00;/images/magnet/Magnet348.jpg
Magnet 349 - Heart Rheinfall;1.00;/images/magnet/Magnet349.jpg
Magnet 350 - Heart Switzerland;1.00;/images/magnet/Magnet350.jpg
Magnet 352 - Bear figurine FIG;3.00;/images/magnet/Magnet352.jpg
Magnet 353 - Heart Freddie;1.00;/images/magnet/Magnet353.jpg
Magnet 355 - Bottle-opener MM;2.00;/images/magnet/Magnet355.jpg
Magnet 356 - grey cow head with flower;1.70;/images/magnet/Magnet356.jpg
Magnet 358 - Cuckoo clock;5.00;/images/magnet/Magnet358.jpg
Magnet 359 - Double-sided GE;1.30;/images/magnet/Magnet359.jpg
Magnet 360 - Water jet Switzerland MM;1.70;/images/magnet/Magnet360.jpg
Magnet 361 - Water jet Genève;;/images/magnet/Magnet361.jpg
Magnet 362 - Cow bell Genève MM;1.70;/images/magnet/Magnet362.jpg
Magnet 363 - double-sided panorama MM;1.30;/images/magnet/Magnet363.jpg
Magnet 364 - Limmat MM;2.00;/images/magnet/Magnet364.jpg
